"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",9.079,0.001,0.33,NA,3.398,0.146,0.001,NA,NA,NA
"Value (10^6 euro)/PD impact",1.101,0.01,0.331,NA,0.93,0.232,0,NA,NA,NA
"Landings (1000 tonnes)/L1 impact",1.558,0.001,0.016,NA,0.056,0.003,0,NA,NA,NA
"Value (10^6 euro)/L1 impact",0.189,0.009,0.016,NA,0.015,0.005,0,NA,NA,NA
