"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,0,0,96.54,100,100
5,0,0,96.71,95.62,95.62
10,0,0,96.94,90.37,90.37
15,0,0,96.94,90.37,90.37
20,0,0,97.43,84.28,84.28
30,0,0,98.2,70.19,70.19
40,0,0,98.2,70.19,70.19
60,0,0,99.22,46.72,46.72
80,0,0,99.6,31.64,31.64
99,0,0,100,16.39,16.39
