"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,0,0,99.09,100,100
5,0,0,99.2,96.73,96.73
10,0,0,99.28,91.05,91.05
15,0,0,99.28,91.05,91.05
20,0,0,99.42,83.58,83.58
30,0,0,99.58,74.31,74.31
40,0,0,99.58,74.31,74.31
60,0,0,99.78,54.44,54.44
80,0,0,100,27.94,27.94
99,0,0,100,27.94,27.94
