"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,3.55,100,100
5,NA,NA,22.24,97.34,92.68
10,NA,NA,32.52,94.21,85.42
15,NA,NA,41.01,90.94,77.91
20,NA,NA,48.87,87.13,72.47
30,NA,NA,62.22,80.01,59.13
40,NA,NA,73.18,70.46,48.12
60,NA,NA,88.13,47.13,25.48
80,NA,NA,95.97,17.15,10.43
99,NA,NA,99.92,0,0.5
