"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,1.72,100,100
5,NA,NA,19.33,95.61,93.92
10,NA,NA,27.71,90.71,88.64
15,NA,NA,35.64,86.17,82.34
20,NA,NA,42.38,81.96,77.04
30,NA,NA,53.44,72.85,66.85
40,NA,NA,63.45,64.11,56.91
60,NA,NA,79.93,44.2,39.01
80,NA,NA,91.89,20.81,20.92
99,NA,NA,99.76,1.25,1.37
