"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,3.85,100,100
5,NA,NA,20.89,96.55,92.19
10,NA,NA,29.64,92.63,85.27
15,NA,NA,36.78,89.13,78.43
20,NA,NA,43.08,84.98,70.87
30,NA,NA,54.11,75.53,57.78
40,NA,NA,63.87,66.44,45.56
60,NA,NA,80.03,47.15,24.81
80,NA,NA,92.01,24.95,9.34
99,NA,NA,99.76,2.18,0.01
