"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",0.06,165.45,219.93,23.96,1.95,50.46,0,0,3.14,0
"Landings (1000 tonnes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value (10^6 euro)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Landings (1000 tonnes)/Area swept (1000 km2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value (10^6 euro)/Area swept (1000 km2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
