"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,5.19,NA,100
5,NA,NA,63.76,NA,8.05
10,NA,NA,70.77,NA,8.01
15,NA,NA,74.79,NA,7.89
20,NA,NA,77.39,NA,7.86
30,NA,NA,83.27,NA,7.76
40,NA,NA,87.32,NA,7.72
60,NA,NA,93.32,NA,7
80,NA,NA,98.17,NA,0.15
99,NA,NA,100,NA,0.07
