"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,64.76,NA,100
5,NA,NA,89.49,NA,0.14
10,NA,NA,91.69,NA,0.14
15,NA,NA,93.83,NA,0.13
20,NA,NA,94.59,NA,0.12
30,NA,NA,96.53,NA,0.11
40,NA,NA,98.85,NA,0.09
60,NA,NA,99.05,NA,0.07
80,NA,NA,99.28,NA,0.04
99,NA,NA,100,NA,0.02
