"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,3.65,NA,100
5,NA,NA,31.52,NA,88.88
10,NA,NA,43.7,NA,80.22
15,NA,NA,50.76,NA,73.79
20,NA,NA,57.45,NA,67.6
30,NA,NA,66.9,NA,56.64
40,NA,NA,73.55,NA,49.19
60,NA,NA,83.65,NA,33.77
80,NA,NA,93.46,NA,16.18
99,NA,NA,100,NA,2.57
