"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Circalittoral mud",2.37,220,1.42,0,25.15,10.63,0.9,0.78,0.3
"Offshore circalittoral mud",2.12,137,1.42,0,21.09,9.93,0.96,0.91,0.42
"Circalittoral sand",1.96,214,0.72,0,10.97,5.6,0.93,0.68,0.18
"Circalittoral mixed sediment",0.37,72,0.16,0,2.15,5.75,0.83,0.65,0.22
"Offshore circalittoral mixed sediment",0.07,26,0.08,0,1.32,19.31,1,0.98,0.35
"Offshore circalittoral sand",0.6,41,0.07,0,0.87,1.47,0.84,0.75,0.49
"Infralittoral sand",0.82,159,0.06,0,0.67,0.81,0.63,0.2,0.09
"Upper bathyal sediment",0.04,18,0.03,0,0.42,10.91,0.83,0.83,0.28
"Circalittoral coarse sediment",0.1,32,0.03,0,0.33,3.27,0.99,0.84,0.31
"Infralittoral mixed sediment",0.17,37,0.02,0,0.28,1.62,0.88,0.38,0.16
"Offshore circalittoral coarse sediment",0.07,12,0.02,0,0.22,3.02,1,0.71,0.33
"Circalittoral rock and biogenic reef",0.19,112,0.03,0,0.21,1.12,0.8,0.44,0.21
"Infralittoral coarse sediment",0.11,30,0.02,0,0.16,1.45,0.95,0.4,0.17
"Infralittoral mud",0.19,74,0.01,0,0.11,0.58,0.59,0.31,0.14
"Offshore circalittoral rock and biogenic reef",0.02,39,0.01,0,0.05,2.49,0.94,0.74,0.36
"Infralittoral rock and biogenic reef",0.26,88,0,0,0.03,0.1,0.49,0.09,0.19
"Unknown",0.01,43,0,0,0,0.08,0.78,0.08,0.07
