"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Circalittoral mud",2.37,"   0.0","<0.1","<0.1","   1.7","   7.4","14.3","21.9","34.7"," 51.1"," 70.4"
"Offshore circalittoral mud",2.12,"<0.1","   0.4","   2.1","   4.6","   8.2","14.4","24.1","36.6"," 53.8"," 73.6"
"Circalittoral sand",1.96,"   0.0","<0.1","   0.2","   0.9","   2.0"," 4.2"," 9.6","16.9"," 33.7"," 64.2"
"Circalittoral mixed sediment",0.37,"   0.0","   0.0","<0.1","   0.6","   2.2"," 5.0","13.0","21.0"," 33.7"," 60.7"
"Offshore circalittoral mixed sediment",0.07,"   0.5","   2.0","   2.5","   9.3","  18.0","33.2","53.6","66.7"," 80.3","100.0"
"Offshore circalittoral sand",0.6,"   0.0","   0.0","   1.7","   6.4","  13.3","21.6","28.4","44.5"," 57.7"," 75.4"
"Infralittoral sand",0.82,"   0.0","   0.0","   0.0","   0.0","<0.1"," 0.2"," 0.6"," 1.8","  6.5"," 15.2"
"Upper bathyal sediment",0.04,"   0.0","   0.0","   3.1","   4.0","   8.5","17.5","17.5","26.0"," 50.7","100.0"
"Circalittoral coarse sediment",0.1,"   0.3","   0.3","   2.8","   7.6","  15.7","28.7","46.5","46.5"," 62.4"," 81.0"
"Infralittoral mixed sediment",0.17,"   0.0","   0.0","<0.1","<0.1","   0.1"," 1.1"," 3.9"," 8.4"," 22.2"," 46.1"
"Offshore circalittoral coarse sediment",0.07,"   0.2","   1.0","   2.5","   7.4","   7.4","12.3","12.3","18.4"," 37.7","100.0"
"Circalittoral rock and biogenic reef",0.19,"   0.0","   0.0","<0.1","   0.2","   0.9"," 4.8","10.0","21.6"," 47.5"," 78.1"
"Infralittoral coarse sediment",0.11,"   0.0","   0.1","   0.3","   0.7","   3.6","12.2","12.2","14.9","100.0","100.0"
"Infralittoral mud",0.19,"   0.0","   0.0","   0.0","   0.0","   0.0"," 0.3"," 1.1","10.1"," 37.2"," 76.5"
"Offshore circalittoral rock and biogenic reef",0.02,"   0.0","   0.3","   2.7","   8.6","  11.4","20.2","33.1","33.1"," 47.8"," 70.8"
"Infralittoral rock and biogenic reef",0.26,"   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 1.0"," 3.3"," 17.2"," 36.1"
"Unknown",0.01,"   0.0","   0.0","   0.0","  11.4","  11.4","26.2","26.2","26.2","100.0","100.0"
