"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,16.69,NA,100
5,NA,NA,51.81,NA,91.6
10,NA,NA,58.97,NA,84.14
15,NA,NA,64.38,NA,73.54
20,NA,NA,71.6,NA,64.97
30,NA,NA,77.8,NA,55.8
40,NA,NA,87.28,NA,49
60,NA,NA,90.81,NA,46.6
80,NA,NA,100,NA,16.69
99,NA,NA,100,NA,16.69
