"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.01,0.38,16.04,100,100
5,0.01,0.35,53.19,94.61,94.75
10,0.01,0.31,61.57,89.36,89.94
15,0.01,0.28,66.7,84.38,84.94
20,0.01,0.26,70.07,79.34,79.55
30,0.01,0.21,76.58,68.23,68.82
40,0.01,0.17,81.69,58.43,59.32
60,0,0.1,89.44,35.69,36.91
80,0,0.04,95.7,17.58,16.61
99,0,0,100,1.24,0.66
