"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.03,0.58,1.36,100,100
5,0.03,0.51,34.16,94.88,94.42
10,0.02,0.46,44.03,89.43,89.64
15,0.02,0.41,50.92,83.92,84.55
20,0.02,0.36,56.86,78.53,79.61
30,0.02,0.29,65.9,68.23,70.26
40,0.02,0.23,73.74,57.68,60.24
60,0.01,0.14,85.56,37.92,39.25
80,0.01,0.05,94.62,18.91,19.54
99,0,0,100,1.1,0.84
