"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,0.01,0.22,41.24,100,100
5,0.01,0.2,70.1,94.63,95.06
10,0.01,0.18,75.56,88.8,88.98
15,0.01,0.16,80.44,82.23,81.65
20,0.01,0.14,84.53,76.26,75.42
30,0.01,0.1,89.37,64.74,62.01
40,0,0.08,92.26,56.12,53.85
60,0,0.04,96.5,35.57,30.17
80,0,0.01,99.1,18.4,13.01
99,0,0,100,5.63,3.69
