"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",NA,NA,0.348,NA,4.742,NA,NA,NA,NA,NA
"Value (10^6 euro)/PD impact",NA,NA,0.335,NA,0.91,NA,NA,NA,NA,NA
"Landings (1000 tonnes)/L1 impact",NA,NA,0.017,NA,0.086,NA,NA,NA,NA,NA
"Value (10^6 euro)/L1 impact",NA,NA,0.016,NA,0.016,NA,NA,NA,NA,NA
