"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",0,0,35.17,0,1.14,0,0,0,0,0
"Landings (1000 tonnes)",0,0.01,11.78,0,4.44,0,0,0,0,0
"Value (10^6 euro)",0,0,11.21,0,0.98,0,0,0,0,0
"Landings (1000 tonnes)/Area swept (1000 km2)",NA,6.94,0.33,NA,3.91,NA,NA,NA,NA,NA
"Value (10^6 euro)/Area swept (1000 km2)",NA,2.06,0.32,NA,0.86,NA,NA,NA,NA,NA
