"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral mixed sediment",15.21,2057,2.22,2.32,6.55,0.43,0.32,0.19,0.08
"Offshore circalittoral mud",8.52,1254,1.44,1.59,4.11,0.48,0.37,0.25,0.12
"Circalittoral sand",11.65,1679,0.91,0.54,1.68,0.14,0.43,0.08,0.07
"Offshore circalittoral mud or Offshore circalittoral sand",31.52,2726,0.76,0.65,1.38,0.04,0.2,0.04,0.05
"Circalittoral mud",8.89,1619,0.76,0.44,1.22,0.14,0.25,0.11,0.06
"Circalittoral mud or Circalittoral sand",16.3,2090,0.74,0.23,0.81,0.05,0.27,0.05,0.07
"Offshore circalittoral sand",0.7,197,0.25,0.28,0.8,1.13,0.55,0.39,0.15
"Circalittoral mixed sediment",27.16,3407,1.99,0.45,0.75,0.03,0.14,0.02,0.02
"Circalittoral coarse sediment",5.83,1172,0.25,0.05,0.1,0.02,0.19,0.02,0.05
"Infralittoral sand",2.36,597,0.01,0.01,0.04,0.02,0.19,0.02,0.05
"Infralittoral coarse sediment",2.15,615,0.03,0.01,0.02,0.01,0.1,0.01,0.02
"Circalittoral rock and biogenic reef",4.21,954,0.01,0,0.01,0,0.03,0,0.01
"Infralittoral mud or Infralittoral sand",1.97,277,0,0,0,0,0.02,0,0.01
"Infralittoral mixed sediment",5.51,1123,0.01,0,0,0,0.01,0,0.01
"Infralittoral mud",0.34,290,0,0,0,0,0.03,0,0.01
"Offshore circalittoral coarse sediment",0.55,393,0.01,0,0,0,0.12,0,0.02
"Infralittoral rock and biogenic reef",1.4,553,0,0,0,0,0.01,0,0.01
"Offshore circalittoral rock and biogenic reef",0.14,132,0,0,0,0,0.01,0,0.02
