"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0,0.08,56.79,100,100
5,0,0.07,80.38,96,94.32
10,0,0.06,86.5,92.01,89.15
15,0,0.05,90.41,88.2,84.64
20,0,0.04,93.14,84.07,80.32
30,0,0.03,96.14,72.82,60.77
40,0,0.02,97.69,62.58,43.36
60,0,0.01,99.12,42.08,24.58
80,0,0,99.69,25.5,14.51
99,0,0,100,11.07,6.39
