"Indicators","values"
"Intensity (I-1)",0.25
"Proportion of area in fished cells (I-2)",0.25
"Proportion of area fished per year (I-3)",0.1
"Smallest  prop. of area in fished cells with 90% of fishing effort (I-4)",0.07
"Proportion of area in unfished cells (I-5)",0.75
"Average PD impact",0
"Average L1 impact",0.09
"Proportion of area with PD impact < 0.2",1
"Proportion of area with L1 impact < 0.2",0.88
