"MSFD habitat code","Extent of habitat (in 1000 km^2)","Number of grid cells","Landings 10^3 tonnes","Value 10^6 euro","Swept area in 1000 km^2","Proportion of grid cells fished (I-2)","Proportion of area fished (I-3)","Fishing intensity (I-1)","Average impact (I-6)","Proportion of habitat fished with 90% of effort (I-4)"
"Offshore circalittoral mud",8.25,487,3.95,17.38,24.08,0.94,0.78,2.93,0.44,0.6
"Infralittoral sand",4.14,244,0.07,0.09,0.13,0.28,0.03,0.03,0.01,0.08
"Unknown",3.31,193,0.03,0.04,0.15,0.15,0.04,0.05,0,0.06
"Offshore circalittoral sand",3.15,184,1.03,1.5,2.2,0.84,0.31,0.71,0.08,0.26
"Offshore circalittoral mixed sediment",1.33,78,0.2,0.71,1.06,0.82,0.33,0.8,0.13,0.26
"Infralittoral mixed sediment",1.26,74,0.01,0.01,0.02,0.39,0.01,0.01,0,0.18
"Infralittoral mud",0.82,48,0,0,0,0,0,0,0,NA
"Circalittoral mud",0.69,41,0.37,0.85,0.96,0.66,0.55,1.41,0.18,0.44
"Offshore circalittoral coarse sediment",0.61,36,0.26,0.32,0.43,0.83,0.35,0.71,0.12,0.31
"Circalittoral sand",0.49,29,0.05,0.08,0.09,0.45,0.11,0.19,0.02,0.17
"Circalittoral mixed sediment",0.46,27,0,0.01,0.01,0.52,0.03,0.03,0.01,0.22
"Infralittoral coarse sediment",0.17,10,0.03,0.04,0.03,0.4,0.11,0.16,0.03,NA
"Circalittoral coarse sediment",0.12,7,0.01,0,0,0.43,0.02,0.02,0,NA
"Infralittoral rock and biogenic reef",0.08,5,0,0,0.01,0.8,0.08,0.08,0.02,NA
"Circalittoral rock and biogenic reef",0.05,3,0,0.01,0.02,0.67,0.34,0.49,0.1,NA
"Offshore circalittoral rock and biogenic reef",0.02,1,0,0.01,0.02,1,0.91,0.91,0.1,NA
