"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area fished (1000 km2)",0,19.69,5.29,0,0.3,0.76,0.05,0,0,0
"Landings (1000 tonnes)",0,2.28,1.8,0,1.49,0.22,0,0,0,0
"Value (10^6 euro)",0,16.28,2.61,0,0.37,0.35,0,0,0,0
"Landings (1000 tonnes)/impact ratio",NA,0.01,0.09,NA,2.37,0.19,0,0.12,0.04,NA
"Value (10^6 euro)/impact ratio",NA,0.07,0.13,NA,0.58,0.3,0,0.6,0.1,NA
"Landings (1000 tonnes)/Area fished (1000 km2) ratio",NA,0.12,0.34,NA,5.04,0.29,0,0.66,0.4,NA
"Value (10^6 euro)/Area fished (1000 km2) ratio",NA,0.83,0.49,NA,1.24,0.46,0,3.37,1.02,NA
