"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0,0,99.85,100,100
5,0,0,100,100,100
10,0,0,100,100,100
15,0,0,100,100,100
20,0,0,100,100,100
30,0,0,100,100,100
40,0,0,100,100,100
60,0,0,100,100,100
80,0,0,100,100,100
99,0,0,100,100,100
