"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","<0.005","0","<0.005","0","0","0","0","0","0","0"
"Landings (1000 tonnes)","0.05","0","<0.005","0","0","0","0","0","0","0"
"Value (10^6 euro)","<0.005","0","<0.005","0","0","0","0","0","0","0"
"Landings (1000 tonnes)/Area swept (1000 km2)","2133.71","NaN","0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Value (10^6 euro)/Area swept (1000 km2)","85.35","NaN","<0.005","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
