"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,0.3,100,100
5,NA,NA,23.52,93.25,93.08
10,NA,NA,31.36,88.23,87.97
15,NA,NA,37.31,83.56,82.84
20,NA,NA,42.8,78.38,76.85
30,NA,NA,52.06,68.9,66.49
40,NA,NA,60.66,59.51,56.37
60,NA,NA,76.1,39.73,36.59
80,NA,NA,89.76,18.81,18
99,NA,NA,99.77,1.19,1.21
