"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,13.96,100,100
5,NA,NA,62.4,92.87,95.38
10,NA,NA,71.72,86.98,90.5
15,NA,NA,76.27,81.85,84.35
20,NA,NA,79.56,76.87,80.12
30,NA,NA,84.49,66,72.09
40,NA,NA,88.55,55.58,61.92
60,NA,NA,94.14,35.46,40.07
80,NA,NA,98.2,15.92,18.6
99,NA,NA,100,1.08,1.55
