"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",3.92,52.58,6.12,1,0,0,1.32,0.01,1.64,0
"Landings (1000 tonnes)",9.09,7.87,2.47,0.88,0,0,0.28,0,0.69,0
"Value (10^6 euro)",15.7,23.54,2.15,0.79,0,0,0.46,0.02,2.01,0
"Landings (1000 tonnes)/Area swept (1000 km2)",2.32,0.15,0.4,0.88,NA,NA,0.21,0.43,0.42,NA
"Value (10^6 euro)/Area swept (1000 km2)",4.01,0.45,0.35,0.8,NA,NA,0.35,2.92,1.23,NA
