"Indicators","0 to 200 m","200 to 800 m","more than 800 m"
"Average intensity (I-1)",1.11,NA,NA
"Proportion of area in fished cells (I-2)",0.77,NA,NA
"Proportion of area fished per year (I-3)",0.27,NA,NA
"Smallest  prop. of area in fished cells with 90% of fishing effort (I-4)",0.17,NA,NA
"Proportion of area in unfished cells (I-5)",0.23,NA,NA
"Average PD impact (I-6)",NA,NA,NA
"Average L1 impact (I-6)",NA,NA,NA
"Proportion of area with PD impact < 0.2 (I-7)",NA,NA,NA
"Proportion of area with L1 impact < 0.2 (I-7)",NA,NA,NA
