"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,21.2,100,100
5,NA,NA,69.42,87.9,88.96
10,NA,NA,78.38,80.43,82.39
15,NA,NA,81.87,73.75,76.33
20,NA,NA,84.1,66.71,70.2
30,NA,NA,87.56,57.3,60.12
40,NA,NA,90.52,48.36,51.85
60,NA,NA,93.59,30.84,33.58
80,NA,NA,98.26,14.35,14.75
99,NA,NA,100,4.67,4.83
