"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Upper bathyal sediment",118.61,"0.0","   0.0","   0.0","0.0","<0.1","   0.2"," 1.6"," 7.4","20.5","46.2"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",41.65,"0.0","   0.0","   0.0","0.0","   0.0","<0.1"," 0.2"," 0.5"," 2.7","23.5"
"Offshore circalittoral mud",7.11,"0.0","<0.1","   0.2","1.1","   4.0","  10.5","20.5","34.3","51.8","71.9"
"Offshore circalittoral coarse sediment",2.1,"0.0","<0.1","<0.1","0.2","   0.6","   2.3","12.6","26.4","40.9","59.0"
"Offshore circalittoral rock and biogenic reef",0.16,"0.3","   0.4","   1.1","1.4","   2.7","   3.2"," 6.3","18.4","59.9","59.9"
"Offshore circalittoral sand",0.26,"0.4","   1.4","   3.3","4.4","   9.1","  15.6","26.8","43.0","61.9","86.6"
"Unknown",0.17,"3.4","   5.3","   6.3","7.3","  11.3","  24.0","31.6","51.0","59.9","83.4"
"Upper bathyal rock and biogenic reef",0.81,"0.0","   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.4"," 8.3"
"Lower bathyal sediment",92.54,"0.0","   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Abyssal",138.2,"0.0","   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",33.48,"0.0","   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Offshore circalittoral mixed sediment",0.97,"0.0","   0.0","   0.0","0.0","   0.0","   0.6"," 4.2","17.4","27.3","47.2"
"Lower bathyal rock and biogenic reef",0.5,"0.0","   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"
