"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Upper bathyal sediment",118.61,7658,27.03,79.11,147.23,1.24,0.61,0.39,0.24
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",41.65,2591,2.81,10.36,27.71,0.67,0.55,0.2,0.12
"Offshore circalittoral mud",7.11,598,3.23,7.23,11.45,1.61,0.92,0.65,0.37
"Offshore circalittoral coarse sediment",2.1,222,1.37,3.97,4.44,2.12,0.91,0.53,0.3
"Offshore circalittoral rock and biogenic reef",0.16,25,0.44,1.95,1.52,9.76,1,0.76,0.16
"Offshore circalittoral sand",0.26,50,0.25,0.63,0.91,3.48,1,0.77,0.3
"Unknown",0.17,36,0.04,0.14,0.31,1.86,1,0.72,0.42
"Upper bathyal rock and biogenic reef",0.81,320,0.09,0.18,0.23,0.29,0.26,0.1,0.05
"Lower bathyal sediment",92.54,6371,0.64,0.28,0.19,0,0.05,0,0.03
"Abyssal",138.2,8084,1.89,0.61,0.15,0,0.03,0,0.02
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",33.48,2194,0.02,0.12,0.07,0,0.08,0,0.05
"Offshore circalittoral mixed sediment",0.97,178,0,0,0.01,0.01,0.51,0.01,0.33
"Lower bathyal rock and biogenic reef",0.5,187,0,0,0,0,0.02,0,0.02
