"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","<0.005",26.7,144.41,10.02,0.07,0.09,0.2,0,"<0.005",0
"Landings (1000 tonnes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value (10^6 euro)","0.02",12.99,56.72,10.28,0.42,0.03,0.09,0,"0",0
"Landings (1000 tonnes)/Area swept (1000 km2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value (10^6 euro)/Area swept (1000 km2)","6.25",0.49,0.39,1.03,5.82,0.33,0.48,NA,"0",NA
