"Indicators","0 to 200 m","200 to 800 m","more than 800 m"
"Average intensity (I-1)",1.5,1.69,0.02
"Proportion of area in fished cells (I-2)",0.82,0.76,0.09
"Proportion of area fished per year (I-3)",0.49,0.51,0.01
"Smallest  prop. of area in fished cells with 90% of fishing effort (I-4)",0.37,0.35,0.01
"Proportion of area in unfished cells (I-5)",0.18,0.24,0.91
"Average PD impact (I-6)",NA,NA,NA
"Average L1 impact (I-6)",NA,NA,NA
"Proportion of area with PD impact < 0.2 (I-7)",NA,NA,NA
"Proportion of area with L1 impact < 0.2 (I-7)",NA,NA,NA
