"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,8.37,100,100
5,NA,NA,41.87,94.68,94.93
10,NA,NA,49.75,89.95,90.41
15,NA,NA,55.03,85.56,86.15
20,NA,NA,59.76,80.63,81.14
30,NA,NA,67.51,70.57,70.96
40,NA,NA,73.81,60.8,61.05
60,NA,NA,84.65,40.92,41.21
80,NA,NA,93.53,20.18,20.27
99,NA,NA,99.77,1.74,1.71
