"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.12,0.68,1.56,100,100
5,0.11,0.51,46.17,86.09,85.52
10,0.1,0.42,58.22,79.22,79.35
15,0.09,0.34,65.16,72.76,72.57
20,0.08,0.29,71.06,65.31,65.31
30,0.06,0.22,78.33,52.72,54.75
40,0.04,0.18,82.61,43.19,45.83
60,0.03,0.09,91.5,25.96,24.79
80,0.01,0.04,97.27,13.4,12.8
99,0.01,0.01,100,5.49,5.33
