"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.16,0.9,1.04,100,100
5,0.15,0.73,26.05,94.56,95.77
10,0.14,0.63,36.6,89.27,92.11
15,0.14,0.56,44.17,84.08,88.17
20,0.13,0.49,50.35,78.96,84.26
30,0.11,0.39,60.73,69.03,75.39
40,0.1,0.31,69.38,59.04,66.08
60,0.06,0.16,83.53,39.27,47.1
80,0.03,0.06,93.87,19.86,28.46
99,0,0,99.87,0.84,1.02
