"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",1.88,58.11,339.59,1.62,3.43,114.41,97.38,0.01,3.7,0
"Landings (1000 tonnes)",2.69,9.04,265.84,0.31,15.29,5.93,12.92,0,4.06,0
"Value (10^6 euro)",6.29,37.32,154.39,1.27,2.59,10.28,25.42,0.01,7.81,0
"Landings (1000 tonnes)/Area swept (1000 km2)",1.43,0.16,0.78,0.19,4.46,0.05,0.13,0.44,1.1,NA
"Value (10^6 euro)/Area swept (1000 km2)",3.35,0.64,0.45,0.78,0.75,0.09,0.26,0.9,2.11,NA
