"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral sand",165,"   0.0","   0.0"," 0.1","   0.7","   1.7"," 3.3"," 5.8","10.7","19.6","36.7"
"Offshore circalittoral mud",62.21,"   0.2","   0.8"," 2.7","   5.5","   9.6","15.5","23.9","34.7","48.5","63.7"
"Offshore circalittoral coarse sediment",25.27,"   0.0","<0.1"," 0.7","   1.9","   3.7"," 5.6"," 9.0","13.2","21.6","36.4"
"Offshore circalittoral mixed sediment",1.44,"<0.1","   0.5"," 5.9","   8.8","  10.7","16.9","24.2","31.3","49.8","75.2"
"Upper bathyal sediment",0.32,"   2.6","   6.2","12.5","  21.0","  31.4","43.3","50.2","63.7","72.9","91.4"
"Circalittoral coarse sediment",0.72,"   0.0","   0.1"," 0.6","   3.1","   5.3","16.5","23.9","31.3","43.3","66.7"
"Circalittoral sand",1.33,"   0.0","   0.0"," 0.0","<0.1","   0.4"," 2.2"," 4.5","20.1","26.7","60.5"
"Circalittoral mud",0.74,"   0.0","   0.0"," 0.2","   1.2","   2.1"," 6.2","11.1","22.9","34.5","65.4"
"Offshore circalittoral rock and biogenic reef",0.31,"<0.1","   1.0"," 3.6","   5.2","   6.4"," 9.7","14.4","18.7","53.4","66.7"
"Circalittoral rock and biogenic reef",0.55,"   0.0","   0.0"," 0.0","   0.8","   2.7"," 3.7"," 6.7","14.4","22.5","78.6"
"Unknown",0.4,"   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.9"," 4.4","17.4","33.7","48.3"
"Circalittoral mixed sediment",0.16,"   0.0","   0.0"," 0.0","   0.0","   0.9"," 2.3"," 3.3","13.1","29.0","60.8"
"Infralittoral rock and biogenic reef",0.18,"   0.0","   0.0"," 0.0","   0.0","<0.1"," 1.4"," 3.1"," 9.3","16.1","30.2"
"Infralittoral coarse sediment",0.05,"   0.0","   0.0"," 0.0","   0.9","   7.6","10.4","23.0","28.9","51.6","76.5"
"Infralittoral sand",0.24,"   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.0"," 7.6","30.3","45.8"
"Infralittoral mud",0.06,"   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 1.0","40.6"
"Infralittoral mixed sediment",0.02,"   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0","14.9","14.9"
