"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,0,100,100
5,NA,NA,10.34,95.68,94.34
10,NA,NA,18.92,91.99,89.97
15,NA,NA,27.73,86.31,84.13
20,NA,NA,36.6,80.8,79.45
30,NA,NA,50.29,72.72,70.62
40,NA,NA,60.93,62.67,58.27
60,NA,NA,80.08,41.03,36.79
80,NA,NA,91.6,26.43,23.13
99,NA,NA,100,4.36,3.79
