"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,0.97,100,100
5,NA,NA,13.77,95.13,94.23
10,NA,NA,26.17,88.75,90.67
15,NA,NA,35.9,83.15,87.4
20,NA,NA,44.72,77.96,82.76
30,NA,NA,57.57,69.66,73.22
40,NA,NA,67.77,58.79,66.3
60,NA,NA,82.92,47.1,44.41
80,NA,NA,92.62,26.67,23.54
99,NA,NA,100,0,5.18
