"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0,0,100,NA,NA
5,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA
