"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Circalittoral coarse sediment",1.32,609,0,0,0,0,0,0,NA
"Circalittoral mixed sediment",4.35,1189,0,0,0,0,0,0,NA
"Circalittoral mud",4.87,905,0,0,0,0,0,0,NA
"Circalittoral mud or Circalittoral sand",6.18,1163,0,0,0,0,0,0,NA
"Circalittoral rock and biogenic reef",1.13,874,0,0,0,0,0,0,NA
"Circalittoral sand",2.03,647,0,0,0,0,0,0,NA
"Infralittoral coarse sediment",0.31,302,0,0,0,0,0,0,NA
"Infralittoral mixed sediment",0.86,770,0,0,0,0,0,0,NA
"Infralittoral mud",0.51,372,0,0,0,0,0,0,NA
"Infralittoral mud or Infralittoral sand",0.53,472,0,0,0,0,0,0,NA
"Infralittoral rock and biogenic reef",0.92,614,0,0,0,0,0,0,NA
"Infralittoral sand",0.66,367,0,0,0,0,0,0,NA
"Offshore circalittoral coarse sediment",0.14,75,0,0,0,0,0,0,NA
"Offshore circalittoral mixed sediment",0.29,152,0,0,0,0,0,0,NA
"Offshore circalittoral mud",3.65,387,0,0,0,0,0,0,NA
"Offshore circalittoral mud or Offshore circalittoral sand",0.92,186,0,0,0,0,0,0,NA
"Offshore circalittoral rock and biogenic reef",0.06,64,0,0,0,0,0,0,NA
"Offshore circalittoral sand",0.37,115,0,0,0,0,0,0,NA
"Unknown",0.14,62,0,0,0,0,0,0,NA
