"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",NA,NA,NA,NA,2.08,NA,NA,NA,NA,NA
"Value (10^6 euro)/PD impact",NA,NA,NA,NA,0.417,NA,NA,NA,NA,NA
"Landings (1000 tonnes)/L1 impact",NA,NA,NA,NA,1.771,NA,NA,NA,NA,NA
"Value (10^6 euro)/L1 impact",NA,NA,NA,NA,0.355,NA,NA,NA,NA,NA
