"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0,0.01,92.83,100,100
5,0,0.01,96.56,95.96,92.51
10,0,0.01,97.52,91.19,87.15
15,0,0.01,98.01,85.65,82.64
20,0,0.01,98.37,82.22,77.18
30,0,0.01,98.8,69.65,69.36
40,0,0,99.11,57.24,61.36
60,0,0,99.52,38.17,36.06
80,0,0,99.82,19.01,21.39
99,0,0,100,6.15,1.71
