"Indicators","values"
"Intensity (I-1)",0.01
"Proportion of cells fished (I-2)",0.07
"Proportion of area fished (I-3)",0.01
"Aggregation of fishing pressure (I-4)",0.02
"Persistently unfished areas (I-5)",0.93
"Average PD impact",0
"Average L1 impact",0.01
"Proportion of area with PD impact < 0.2",1
"Proportion of area with L1 impact < 0.2",0.99
