"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Circalittoral mud or Circalittoral sand",28.39,4081,0.79,1.1,0.31,0.01,0.07,0.01,0.02
"Circalittoral mixed sediment",56.68,6657,0.32,0.82,0.16,0,0.03,0,0.01
"Infralittoral mixed sediment",5.13,2047,0.09,0.53,0.07,0.01,0.03,0.01,0.01
"Circalittoral mud",2.93,1867,0.08,0.21,0.04,0.01,0.07,0.01,0.02
"Circalittoral sand",6.93,1613,0.04,0.22,0.03,0,0.02,0,0.01
"Infralittoral mud or Infralittoral sand",0.52,617,0.02,0.1,0.01,0.02,0.08,0.02,0.03
"Infralittoral sand",0.84,397,0.01,0.07,0.01,0.01,0.04,0.01,0.02
"Circalittoral coarse sediment",3.16,1769,0.02,0.02,0.01,0,0.03,0,0.02
"Infralittoral coarse sediment",0.43,331,0.01,0.03,0,0.01,0.03,0.01,0.01
"Circalittoral rock and biogenic reef",1.85,1092,0,0,0,0,0.01,0,0.01
"Infralittoral mud",0.08,247,0,0,0,0,0,0,0.02
"Infralittoral rock and biogenic reef",1.51,856,0,0,0,0,0,0,0
"Offshore circalittoral mud or Offshore circalittoral sand",0.01,11,0,0,0,0,0.09,0,0.18
"Offshore circalittoral mixed sediment",0.07,21,0,0,0,0,0.03,0,0.05
"Offshore circalittoral coarse sediment",0,5,0,0,0,0,0,0,NA
"Offshore circalittoral mud",0,1,0,0,0,0,0,0,NA
"Offshore circalittoral rock and biogenic reef",0,3,0,0,0,0,0,0,NA
"Offshore circalittoral sand",0,5,0,0,0,0,0,0,NA
