"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","0","0","0.47","0","0.65","0","0","0","0","0"
"Landings (1000 tonnes)","0","0","0.67","0","1.88","0","0","0","0","0"
"Value (10^6 euro)","0","0","2.68","0","0.84","0","0","0","0","0"
"Landings (1000 tonnes)/Area swept (1000 km2)","NaN","NaN","1.44","NaN","2.9","NaN","NaN","NaN","NaN","NaN"
"Value (10^6 euro)/Area swept (1000 km2)","NaN","NaN","5.73","NaN","1.3","NaN","NaN","NaN","NaN","NaN"
