"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",NA,NA,0.705,NA,3.424,NA,NA,NA,NA,NA
"Value (10^6 euro)/PD impact",NA,NA,4.163,NA,1.999,NA,NA,NA,NA,NA
"Landings (1000 tonnes)/L1 impact",NA,NA,0.018,NA,0.06,NA,NA,NA,NA,NA
"Value (10^6 euro)/L1 impact",NA,NA,0.106,NA,0.035,NA,NA,NA,NA,NA
