"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.22,0.91,1.22,100,100
5,0.21,0.75,24.7,93.22,91.7
10,0.2,0.63,36.44,87.18,84.77
15,0.18,0.55,44.82,81.22,79.26
20,0.17,0.48,51.55,75.87,74.08
30,0.15,0.38,62.32,65.78,64.06
40,0.13,0.29,71.02,56.21,54.88
60,0.08,0.15,84.55,37.36,37.31
80,0.04,0.06,94.24,18.22,20.05
99,0,0,99.88,0.63,0.52
