"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",0.244,0.04,0.526,0.074,2.614,0.096,0.09,0.134,0.057,1.475
"Value (10^6 euro)/PD impact",0.588,0.095,0.313,0.202,1.034,0.242,0.196,0.585,0.221,1.853
"Landings (1000 tonnes)/L1 impact",0.049,0.01,0.038,0.011,0.062,0.004,0.004,0.023,0.01,0.484
"Value (10^6 euro)/L1 impact",0.118,0.024,0.023,0.03,0.024,0.01,0.01,0.1,0.038,0.608
