"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","16.8","179.68","569.98","34.36","9.37","78.44","224.13","58.09","104.31","0.02"
"Landings (1000 tonnes)","54.16","55.43","646.98","12.59","46.9","7.37","25.21","27.37","56.55","0.86"
"Value (10^6 euro)","130.23","136.41","397.9","34.11","18.82","18.68","54.71","119.4","218.77","1.08"
"Landings (1000 tonnes)/Area swept (1000 km2)","3.22","0.31","1.14","0.37","5.01","0.09","0.11","0.47","0.54","40.15"
"Value (10^6 euro)/Area swept (1000 km2)","7.75","0.76","0.7","0.99","2.01","0.24","0.24","2.06","2.1","50.44"
