"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.12,0.71,4.8,100,100
5,0.11,0.59,36.96,91.42,93.5
10,0.11,0.5,47.93,86.66,89.87
15,0.1,0.43,55.83,81.93,86.4
20,0.09,0.37,62.65,77.21,83.29
30,0.08,0.26,73.59,68.15,76.32
40,0.06,0.18,81.84,58.71,67.51
60,0.04,0.08,91.91,37.92,46.2
80,0.02,0.03,97.21,17.73,24.03
99,0,0,99.95,0.4,0.18
