"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.15,0.68,4.9,100,100
5,0.14,0.48,51.12,92.52,91.77
10,0.12,0.38,62.03,85.95,83.82
15,0.11,0.31,68.89,79.89,76.12
20,0.1,0.26,73.92,74.42,68.66
30,0.09,0.18,81.61,63.12,55.38
40,0.07,0.13,86.92,51.14,44.71
60,0.04,0.06,93.89,30.15,27.34
80,0.01,0.02,98.14,11.45,10.36
99,0,0,99.97,0.45,0.28
