"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,0.08,0.63,8.36,100,100
5,0.08,0.49,45.39,92.53,93.32
10,0.07,0.4,57.54,85.27,87.27
15,0.07,0.32,65.84,77.79,81.45
20,0.06,0.26,72.36,69.44,75.48
30,0.05,0.18,81.7,52.01,62.92
40,0.04,0.12,87.84,38.68,52.18
60,0.02,0.05,94.93,20.72,29.49
80,0.01,0.02,98.4,7.55,9.52
99,0,0,99.97,0.1,0.06
