"Indicators","values"
"1. Intensity",0.311158519215982
"2. Proportion of cells fished",0.247246022031824
"3. Proportion of area fished",0.120609477387704
"4. Aggregation of fishing pressure",0.0821384857492569
"5. Persistently unfished areas",0.752753977968176
"6. Average impact",0.0055380377037425
"7. Proportion of area with impact < 0.2",0.998426298303899
