"MSFD habitat code","Extent of habitat (in 1000 km^2)","Number of grid cells","Landings 10^3 tonnes","Value 10^6 euro","Swept area in 1000 km^2","Proportion of grid cells fished (I-2)","Proportion of area fished (I-3)","Fishing intensity (I-1)","Average impact (I-6)","Proportion of habitat fished with 90% of effort (I-4)"
"Circalittoral mixed sediment",107.64,7015,5.28,3.07,6,0.12,0.03,0.05,0,0.03
"Circalittoral mud or Circalittoral sand",51.69,3407,3.99,2.44,4.29,0.16,0.06,0.07,0,0.06
"Offshore circalittoral mud or Offshore circalittoral sand",32.63,1963,1.23,0.98,2.72,0.24,0.06,0.08,0,0.08
"Circalittoral sand",32.34,1992,7.01,6.17,17.2,0.44,0.23,0.48,0.01,0.17
"Infralittoral sand",22.92,1306,2.92,2.58,10.32,0.55,0.22,0.44,0.01,0.19
"Circalittoral mud",22.49,1383,5.07,4.59,10.37,0.26,0.18,0.42,0.01,0.13
"Offshore circalittoral mud",20.93,1231,15.09,12.19,35.18,0.59,0.52,1.61,0.03,0.35
"Infralittoral mixed sediment",20.17,1251,0.34,0.58,0.58,0.14,0.02,0.03,0,0.04
"Offshore circalittoral mixed sediment",19.46,1156,7.4,6.95,21,0.41,0.28,1.03,0.02,0.17
"Circalittoral coarse sediment",10.98,680,0.31,0.2,0.46,0.19,0.03,0.04,0,0.04
"Infralittoral coarse sediment",6.57,386,0.29,0.27,0.44,0.3,0.05,0.06,0,0.09
"Circalittoral rock and biogenic reef",6.21,394,0.06,0.02,0.05,0.05,0.01,0.01,0,0.02
"Infralittoral rock and biogenic reef",3.77,234,0.01,0.01,0.04,0.08,0.01,0.01,0,0.01
"Offshore circalittoral sand",2.66,153,1.47,1.37,4.04,0.73,0.5,1.48,0.03,0.35
"Infralittoral mud",2.11,122,0.46,0.54,1.03,0.38,0.19,0.47,0.01,0.15
"Infralittoral mud or Infralittoral sand",2.06,133,0.06,0.06,0.01,0.02,0.01,0.01,0,0.01
"Offshore circalittoral coarse sediment",0.76,47,0.02,0.03,0.06,0.15,0.04,0.07,0,0.04
"Offshore circalittoral rock and biogenic reef",0.29,18,0,0,0,0,0,0,0,NA
"Unknown",0.08,5,0,0,0,0,0,0,0,NA
