"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area fished (1000 km2)",0,0,105.47,0,3.22,5.09,0.02,0,0,0
"Landings (1000 tonnes)",0.05,0.01,41.36,0,9.2,0.4,0,0,0,0
"Value (10^6 euro)",0,0,38.68,0,2.82,0.57,0,0,0,0
"Landings (1000 tonnes)/impact ratio",34.44,0.44,0.34,NA,3.59,0.15,0.05,NA,NA,NA
"Value (10^6 euro)/impact ratio",1.38,0.18,0.32,NA,1.1,0.22,0.08,NA,NA,NA
"Landings (1000 tonnes)/Area fished (1000 km2) ratio",2142.54,3.61,0.39,NA,2.86,0.08,0.05,NA,NA,NA
"Value (10^6 euro)/Area fished (1000 km2) ratio",85.7,1.48,0.37,NA,0.88,0.11,0.08,NA,NA,NA
