"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area fished (1000 km2)",7.4,0.34,72.96,26.18,4.86,20.84,78.05,0.01,13.03,0.01
"Landings (1000 tonnes)",27.2,0.08,12.55,11.59,1.7,1.65,5.59,0,3.67,0.2
"Value (10^6 euro)",74.39,0.65,28.68,27.3,3.03,4.2,12.43,0.03,13.74,0.16
"Landings (1000 tonnes)/impact ratio",0.27,0.03,0.09,0.09,0.14,0.09,0.07,0.04,0.03,1.46
"Value (10^6 euro)/impact ratio",0.75,0.28,0.21,0.21,0.25,0.23,0.15,0.28,0.11,1.15
"Landings (1000 tonnes)/Area fished (1000 km2) ratio",3.68,0.23,0.17,0.44,0.35,0.08,0.07,0.32,0.28,36.68
"Value (10^6 euro)/Area fished (1000 km2) ratio",10.05,1.9,0.39,1.04,0.62,0.2,0.16,2.24,1.05,28.9
