"Indicators","values"
"1. Intensity",4.07965282557011
"2. Proportion of cells fished",0.948051948051948
"3. Proportion of area fished",0.678934505725743
"4. Aggregation of fishing pressure",0.40981240981241
"5. Persistently unfished areas",0.051948051948052
"6. Average impact",0.183775347670735
"7. Proportion of area with impact < 0.2",0.652958152958153
