"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",1.56,0.36,45.19,5.15,0.09,0.51,1.25,0,4.61,0
"Landings (1000 tonnes)",1.43,0,6.36,1.48,0.05,0.03,0.09,0,3.8,0
"Value (10^6 euro)",3.19,0.02,15.1,3.73,0.06,0.07,0.25,0,12.19,0
"Landings (1000 tonnes)/Area swept (1000 km2)",0.92,0.01,0.14,0.29,0.48,0.05,0.08,0.38,0.82,4.11
"Value (10^6 euro)/Area swept (1000 km2)",2.05,0.04,0.33,0.72,0.66,0.14,0.2,0.36,2.64,10.59
