"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6 euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral coarse sediment",9.66,561,10.89,28.41,46.67,4.83,0.92,0.91,0.62
"Offshore circalittoral sand",1.94,165,1.65,4.41,8.15,4.21,0.98,0.94,0.52
"Offshore circalittoral mixed sediment",0.42,71,0.51,1.34,3.03,7.24,0.91,0.89,0.35
"Circalittoral sand",0.4,68,0.08,0.17,0.34,0.85,0.93,0.39,0.22
"Circalittoral coarse sediment",0.24,52,0.06,0.15,0.3,1.25,1,0.66,0.29
"Unknown",0.21,72,0.02,0.07,0.12,0.58,0.97,0.31,0.21
"Circalittoral rock and biogenic reef",0.15,82,0.01,0.02,0.04,0.28,0.86,0.21,0.33
"Infralittoral rock and biogenic reef",0.07,52,0,0,0.01,0.08,0.7,0.08,0.17
"Infralittoral sand",0.05,38,0,0,0,0.08,0.72,0.08,0.13
"Offshore circalittoral mud",0.02,7,0,0,0,0.24,0.63,0.24,0.43
"Offshore circalittoral rock and biogenic reef",0.01,57,0.01,0.01,0.02,1.73,1,0.82,0.39
"Infralittoral coarse sediment",0.01,11,0,0,0,0.17,0.67,0.17,NA
"Circalittoral mud",0.01,15,0,0,0,0.22,0.5,0.17,NA
"Circalittoral mixed sediment",0,3,0,0,0,0.49,0.79,0.49,NA
"Infralittoral mud",0,4,0,0,0,0.4,1,0.4,NA
"Infralittoral mixed sediment",0,2,0,0,0,0.55,0.88,0.55,NA
