"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,7.3,100,100
5,NA,NA,20.57,93.85,93.94
10,NA,NA,30.11,86.67,86.83
15,NA,NA,38.78,78.78,79.05
20,NA,NA,45.51,73.16,73.31
30,NA,NA,57.35,62.05,62.16
40,NA,NA,66.42,51.49,51.58
60,NA,NA,81.77,32.81,32.77
80,NA,NA,92.36,14.79,15.14
99,NA,NA,100,0.7,0.73
