"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,7.32,100,100
5,NA,NA,54.69,91.32,92.21
10,NA,NA,68.56,84.83,87
15,NA,NA,71.08,81.83,84.41
20,NA,NA,71.98,78.34,82.37
30,NA,NA,78.64,64.64,71.88
40,NA,NA,81.63,56.67,65.11
60,NA,NA,91.99,35.39,37.46
80,NA,NA,96.86,26,27.96
99,NA,NA,100,13.79,9.9
